Cuda is available!
Step [10/100000], d_real_loss: 0.2485, d_mnist_loss: 0.1324, d_svhn_loss: 0.1161, d_fake_loss: 0.1903, g_loss: 1.2494 
Step [20/100000], d_real_loss: 0.1298, d_mnist_loss: 0.0394, d_svhn_loss: 0.0905, d_fake_loss: 0.3437, g_loss: 2.0135 
Step [30/100000], d_real_loss: 0.3141, d_mnist_loss: 0.2311, d_svhn_loss: 0.0830, d_fake_loss: 0.0989, g_loss: 1.4147 
Step [40/100000], d_real_loss: 0.0969, d_mnist_loss: 0.0311, d_svhn_loss: 0.0658, d_fake_loss: 0.1432, g_loss: 1.9703 
Step [50/100000], d_real_loss: 0.0981, d_mnist_loss: 0.0646, d_svhn_loss: 0.0334, d_fake_loss: 0.0755, g_loss: 1.2669 
Step [60/100000], d_real_loss: 0.1264, d_mnist_loss: 0.0321, d_svhn_loss: 0.0943, d_fake_loss: 0.1150, g_loss: 1.9845 
Step [70/100000], d_real_loss: 0.1101, d_mnist_loss: 0.0623, d_svhn_loss: 0.0478, d_fake_loss: 0.1491, g_loss: 1.9091 
Step [80/100000], d_real_loss: 0.2408, d_mnist_loss: 0.0528, d_svhn_loss: 0.1880, d_fake_loss: 0.1341, g_loss: 1.5439 
Step [90/100000], d_real_loss: 0.2659, d_mnist_loss: 0.0331, d_svhn_loss: 0.2327, d_fake_loss: 0.2390, g_loss: 1.2579 
Step [100/100000], d_real_loss: 0.2028, d_mnist_loss: 0.0270, d_svhn_loss: 0.1759, d_fake_loss: 0.3002, g_loss: 1.4586 
Step [110/100000], d_real_loss: 0.3290, d_mnist_loss: 0.0473, d_svhn_loss: 0.2817, d_fake_loss: 0.2117, g_loss: 0.9810 
Step [120/100000], d_real_loss: 0.2635, d_mnist_loss: 0.0421, d_svhn_loss: 0.2214, d_fake_loss: 0.3276, g_loss: 1.6908 
Step [130/100000], d_real_loss: 0.2341, d_mnist_loss: 0.0192, d_svhn_loss: 0.2150, d_fake_loss: 0.2634, g_loss: 1.3037 
Step [140/100000], d_real_loss: 0.2554, d_mnist_loss: 0.0671, d_svhn_loss: 0.1883, d_fake_loss: 0.4233, g_loss: 1.1954 
Step [150/100000], d_real_loss: 0.3975, d_mnist_loss: 0.0198, d_svhn_loss: 0.3777, d_fake_loss: 0.3047, g_loss: 1.2831 
